id,focus,signal,slack,drag,confidence,score,lane
l001,join width,35,33,6,25,135,watch
l002,constraint risk,35,34,6,55,196,watch
l003,plan drift,35,35,6,85,257,ship
l004,index fit,35,36,18,25,102,watch
l005,join width,35,37,18,55,163,watch
l006,constraint risk,35,38,18,85,224,ship
l007,plan drift,35,39,34,25,57,hold
l008,index fit,35,40,34,55,118,watch
l009,join width,35,41,34,85,179,watch
l010,constraint risk,60,42,6,25,194,watch
l011,plan drift,60,43,6,55,255,ship
l012,index fit,60,44,6,85,316,ship
l013,join width,60,45,18,25,161,watch
l014,constraint risk,60,46,18,55,222,ship
l015,plan drift,60,47,18,85,283,ship
l016,index fit,60,48,34,25,116,watch
l017,join width,60,32,34,55,160,watch
l018,constraint risk,60,33,34,85,221,ship
l019,plan drift,85,34,6,25,236,ship
l020,index fit,85,35,6,55,297,ship
l021,join width,85,36,6,85,358,ship
l022,constraint risk,85,37,18,25,203,watch
l023,plan drift,85,38,18,55,264,ship
l024,index fit,85,39,18,85,325,ship
l025,join width,85,40,34,25,158,watch
l026,constraint risk,85,41,34,55,219,ship
l027,plan drift,85,42,34,85,280,ship
